Jahr,Bruttoinlandsprodukt (BIP) in jeweiligen Preisen,BIP je Erwerbstätigem,BIP je Einwohner,Bruttowertschöpfung (BWS) in jeweiligen Preisen,BWS Land- und Forstwirtschaft/Fischerei,BWS Produzierendes Gewerbe,BWS Dienstleistungsbereiche
1991,67843,39834,19744,61778,23,15999,45756
1992,74699,44580,21687,67878,18,16855,51005
1993,80357,48186,23287,72890,16,16807,56067
1994,83168,50219,24141,75085,17,16677,58390
1995,85736,51749,24965,77695,16,17227,60452
1996,84987,52113,24862,77059,17,16559,60483
1997,83729,52468,24728,75980,16,16238,59726
1998,83970,53007,25094,76125,17,15395,60713
1999,84566,53448,25497,76259,11,15145,61103
2000,85336,52840,25869,76980,12,14796,62172
2001,86183,54013,26194,77884,11,13899,63974
2002,86306,55020,26264,78065,11,13688,64366
2003,85474,55298,26083,77196,10,13364,63822
2004,85407,54935,26152,77396,13,13268,64114
2005,87254,56051,26761,78957,12,13350,65595
2006,90412,57133,27735,81788,12,13808,67968
2007,94675,58584,29030,85186,8,14538,70640
2008,99302,60339,30407,89337,8,15388,73941
2009,99267,59387,30362,89057,6,15022,74029
2010,103292,61156,31547,92948,5,16350,76593
2011,108143,63330,32749,97139,5,17025,80109
2012,109910,62908,32803,98766,6,16572,82189
2013,112866,63620,33210,101540,5,16126,85408
2014,117415,65008,34074,105662,5,16693,88964
2015,123819,67176,35428,111442,4,17235,94203
2016,129454,,,116575,5,18005,98565